method,round,acc,f1
FedAvg,0,46.0,21.05
FedAvg,1,60.7,23.54
FedAvg,2,69.45,25.94
FedAvg,3,79.65,30.19
FedAvg,4,83.95,31.56
FedAvg,5,87.55,30.64
FedAvg,6,88.55,29.1
FedAvg,7,89.15,28.85
FedAvg,8,89.8,26.62
FedAvg,9,89.9,26.28
FedAvg,10,90.1,26.67
FedAvg,11,90.45,27.38
FedAvg,12,90.5,27.48
FedAvg,13,90.45,26.82
FedAvg,14,90.45,26.82
FedAvg,15,90.5,26.92
FedAvg,16,90.55,27.03
FedAvg,17,90.5,26.92
FedAvg,18,90.55,27.03
FedAvg,19,90.55,27.03
FedAvg,20,90.5,26.36
FedAvg,21,90.5,26.36
FedAvg,22,90.5,26.36
FedAvg,23,90.5,26.36
FedAvg,24,90.5,26.36
FedAvg,25,90.5,26.36
FedAvg,26,90.55,27.03
FedAvg,27,90.5,26.36
FedAvg,28,90.55,27.03
FedAvg,29,90.6,27.69
FedAvg,30,90.6,27.69
FedAvg,31,90.65,28.35
FedAvg,32,90.65,28.35
FedAvg,33,90.65,28.35
FedAvg,34,90.65,28.35
FedAvg,35,90.65,28.35
FedAvg,36,90.65,28.35
FedAvg,37,90.65,28.35
FedAvg,38,90.65,28.35
FedAvg,39,90.6,28.24
FedAvg,40,90.6,28.24
FedAvg,41,90.7,29.55
FedAvg,42,90.7,29.55
FedAvg,43,90.7,29.55
FedAvg,44,90.7,29.55
FedAvg,45,90.7,29.55
FedAvg,46,90.7,29.55
FedAvg,47,90.7,29.55
FedAvg,48,90.7,29.55
FedAvg,49,90.7,29.55
Multi-Krum,0,32.0,19.24
Multi-Krum,1,43.15,18.14
Multi-Krum,2,49.65,19.12
Multi-Krum,3,60.95,20.71
Multi-Krum,4,71.5,21.7
Multi-Krum,5,81.15,17.14
Multi-Krum,6,82.95,17.83
Multi-Krum,7,86.1,15.24
Multi-Krum,8,88.4,8.66
Multi-Krum,9,88.65,11.67
Multi-Krum,10,88.45,4.15
Multi-Krum,11,88.55,4.98
Multi-Krum,12,88.85,1.76
Multi-Krum,13,88.8,0.0
Multi-Krum,14,88.8,0.0
Multi-Krum,15,88.8,0.0
Multi-Krum,16,88.8,0.0
Multi-Krum,17,88.8,0.0
Multi-Krum,18,88.8,0.0
Multi-Krum,19,88.8,0.0
Multi-Krum,20,88.8,0.0
Multi-Krum,21,88.8,0.0
Multi-Krum,22,88.8,0.0
Multi-Krum,23,88.8,0.0
Multi-Krum,24,88.8,0.0
Multi-Krum,25,88.8,0.0
Multi-Krum,26,88.8,0.0
Multi-Krum,27,88.8,0.0
Multi-Krum,28,88.8,0.0
Multi-Krum,29,88.8,0.0
Multi-Krum,30,88.8,0.0
Multi-Krum,31,88.8,0.0
Multi-Krum,32,88.8,0.0
Multi-Krum,33,88.8,0.0
Multi-Krum,34,88.8,0.0
Multi-Krum,35,88.8,0.0
Multi-Krum,36,88.8,0.0
Multi-Krum,37,88.9,1.77
Multi-Krum,38,89.0,3.51
Multi-Krum,39,89.05,4.37
Multi-Krum,40,89.1,5.22
Multi-Krum,41,89.4,10.17
Multi-Krum,42,89.45,10.97
Multi-Krum,43,89.45,10.97
Multi-Krum,44,89.6,13.33
Multi-Krum,45,89.6,13.33
Multi-Krum,46,89.7,14.88
Multi-Krum,47,89.55,12.55
Multi-Krum,48,89.65,14.11
Multi-Krum,49,89.75,15.64
TrimmedMean,0,74.8,23.87
TrimmedMean,1,80.95,17.71
TrimmedMean,2,83.95,12.05
TrimmedMean,3,86.55,6.92
TrimmedMean,4,87.85,0.0
TrimmedMean,5,88.5,0.0
TrimmedMean,6,88.8,0.0
TrimmedMean,7,88.8,0.0
TrimmedMean,8,88.8,0.0
TrimmedMean,9,88.8,0.0
TrimmedMean,10,88.8,0.0
TrimmedMean,11,88.8,0.0
TrimmedMean,12,88.8,0.0
TrimmedMean,13,88.8,0.0
TrimmedMean,14,88.8,0.0
TrimmedMean,15,88.8,0.0
TrimmedMean,16,88.85,0.89
TrimmedMean,17,88.9,1.77
TrimmedMean,18,89.0,3.51
TrimmedMean,19,89.1,5.22
TrimmedMean,20,89.1,5.22
TrimmedMean,21,89.1,5.22
TrimmedMean,22,89.2,6.9
TrimmedMean,23,89.4,10.17
TrimmedMean,24,89.4,10.17
TrimmedMean,25,89.55,12.55
TrimmedMean,26,89.65,14.11
TrimmedMean,27,89.8,16.39
TrimmedMean,28,89.8,16.39
TrimmedMean,29,89.85,17.14
TrimmedMean,30,89.95,18.62
TrimmedMean,31,90.0,19.35
TrimmedMean,32,90.1,20.8
TrimmedMean,33,90.15,21.51
TrimmedMean,34,90.2,22.22
TrimmedMean,35,90.2,22.22
TrimmedMean,36,90.2,22.22
TrimmedMean,37,90.3,23.62
TrimmedMean,38,90.35,24.31
TrimmedMean,39,90.35,24.31
TrimmedMean,40,90.35,24.31
TrimmedMean,41,90.35,24.31
TrimmedMean,42,90.35,24.31
TrimmedMean,43,90.35,24.31
TrimmedMean,44,90.35,24.31
TrimmedMean,45,90.35,24.31
TrimmedMean,46,90.35,24.31
TrimmedMean,47,90.4,25.0
TrimmedMean,48,90.4,25.0
TrimmedMean,49,90.5,26.36
Bulyan,0,50.15,25.98
Bulyan,1,61.15,27.04
Bulyan,2,64.9,28.66
Bulyan,3,72.9,29.24
Bulyan,4,74.2,31.2
Bulyan,5,79.95,30.02
Bulyan,6,85.1,21.99
Bulyan,7,85.65,24.27
Bulyan,8,86.1,26.06
Bulyan,9,85.9,21.23
Bulyan,10,85.95,21.29
Bulyan,11,87.15,20.43
Bulyan,12,88.2,9.92
Bulyan,13,88.85,5.91
Bulyan,14,88.85,0.89
Bulyan,15,88.8,0.0
Bulyan,16,88.85,0.89
Bulyan,17,88.9,1.77
Bulyan,18,88.85,0.89
Bulyan,19,88.8,0.0
Bulyan,20,88.8,0.0
Bulyan,21,88.8,0.0
Bulyan,22,88.8,0.0
Bulyan,23,88.8,0.0
Bulyan,24,88.8,0.0
Bulyan,25,88.8,0.0
Bulyan,26,88.8,0.0
Bulyan,27,88.8,0.0
Bulyan,28,88.8,0.0
Bulyan,29,88.8,0.0
Bulyan,30,88.8,0.0
Bulyan,31,88.8,0.0
Bulyan,32,88.8,0.0
Bulyan,33,88.85,0.89
Bulyan,34,89.15,6.06
Bulyan,35,88.85,0.89
Bulyan,36,89.15,6.06
Bulyan,37,89.5,11.76
Bulyan,38,89.85,17.81
Bulyan,39,90.1,21.43
Bulyan,40,90.15,22.75
Bulyan,41,90.25,24.12
Bulyan,42,90.15,22.75
Bulyan,43,90.15,22.75
Bulyan,44,90.15,22.75
Bulyan,45,90.25,24.12
Bulyan,46,90.1,22.05
Bulyan,47,90.05,20.72
Bulyan,48,90.0,20.0
Bulyan,49,90.05,20.72
RFVIR,0,39.2,19.36
RFVIR,1,51.8,20.46
RFVIR,2,58.65,22.2
RFVIR,3,66.05,24.3
RFVIR,4,72.9,25.34
RFVIR,5,79.0,26.57
RFVIR,6,81.7,26.51
RFVIR,7,85.8,26.8
RFVIR,8,88.15,21.78
RFVIR,9,88.7,21.53
RFVIR,10,89.1,20.44
RFVIR,11,89.55,19.92
RFVIR,12,89.8,18.4
RFVIR,13,89.85,18.47
RFVIR,14,89.7,14.88
RFVIR,15,89.7,14.88
RFVIR,16,89.7,14.88
RFVIR,17,89.65,14.11
RFVIR,18,89.65,14.11
RFVIR,19,89.75,15.64
RFVIR,20,89.75,15.64
RFVIR,21,89.75,15.64
RFVIR,22,89.75,15.64
RFVIR,23,89.75,15.64
RFVIR,24,89.75,15.64
RFVIR,25,89.75,15.64
RFVIR,26,89.75,15.64
RFVIR,27,89.75,15.64
RFVIR,28,89.8,16.39
RFVIR,29,89.8,16.39
RFVIR,30,89.8,16.39
RFVIR,31,89.9,17.89
RFVIR,32,89.9,17.89
RFVIR,33,90.0,19.35
RFVIR,34,90.1,20.8
RFVIR,35,90.1,20.8
RFVIR,36,90.2,22.22
RFVIR,37,90.25,22.92
RFVIR,38,90.25,22.92
RFVIR,39,90.25,22.92
RFVIR,40,90.25,22.92
RFVIR,41,90.3,23.62
RFVIR,42,90.35,24.31
RFVIR,43,90.35,24.31
RFVIR,44,90.4,25.0
RFVIR,45,90.4,25.0
RFVIR,46,90.4,25.0
RFVIR,47,90.4,25.0
RFVIR,48,90.4,25.0
RFVIR,49,90.4,25.0
FLAME,0,46.75,16.86
FLAME,1,57.55,17.49
FLAME,2,66.75,18.8
FLAME,3,75.3,19.54
FLAME,4,79.75,18.84
FLAME,5,81.45,18.1
FLAME,6,85.1,15.34
FLAME,7,87.65,5.36
FLAME,8,88.8,0.0
FLAME,9,88.8,0.0
FLAME,10,88.8,0.0
FLAME,11,88.8,0.0
FLAME,12,88.8,0.0
FLAME,13,88.85,0.89
FLAME,14,88.85,0.89
FLAME,15,89.15,6.06
FLAME,16,89.5,11.76
FLAME,17,89.35,9.36
FLAME,18,89.15,6.06
FLAME,19,89.15,6.06
FLAME,20,89.25,7.73
FLAME,21,89.6,13.33
FLAME,22,89.75,15.64
FLAME,23,89.9,17.89
FLAME,24,90.0,19.35
FLAME,25,90.1,20.8
FLAME,26,90.3,23.62
FLAME,27,90.35,24.31
FLAME,28,90.35,24.31
FLAME,29,90.35,24.31
FLAME,30,90.4,25.0
FLAME,31,90.55,27.03
FLAME,32,90.65,28.35
FLAME,33,90.7,29.01
FLAME,34,90.7,29.01
FLAME,35,90.65,28.35
FLAME,36,90.7,29.01
FLAME,37,90.65,28.35
FLAME,38,90.75,29.66
FLAME,39,90.7,29.55
FLAME,40,90.7,29.55
FLAME,41,90.7,29.55
FLAME,42,90.7,29.55
FLAME,43,90.7,29.55
FLAME,44,90.7,29.55
FLAME,45,90.75,30.19
FLAME,46,90.75,30.19
FLAME,47,90.7,29.55
FLAME,48,90.75,30.19
FLAME,49,90.7,30.08
Ours,0,72.45,23.79
Ours,1,76.85,20.85
Ours,2,79.8,19.2
Ours,3,82.95,17.43
Ours,4,86.05,19.13
Ours,5,87.85,13.52
Ours,6,88.65,12.36
Ours,7,89.25,11.52
Ours,8,89.35,10.13
Ours,9,89.3,8.55
Ours,10,89.15,6.06
Ours,11,89.2,6.9
Ours,12,89.0,3.51
Ours,13,89.0,3.51
Ours,14,88.9,1.77
Ours,15,88.9,1.77
Ours,16,89.0,3.51
Ours,17,89.0,3.51
Ours,18,89.0,3.51
Ours,19,89.05,4.37
Ours,20,89.0,3.51
Ours,21,88.95,2.64
Ours,22,89.05,4.37
Ours,23,89.05,4.37
Ours,24,89.05,4.37
Ours,25,89.15,6.06
Ours,26,89.2,6.9
Ours,27,89.15,6.06
Ours,28,89.25,7.73
Ours,29,89.4,10.17
Ours,30,89.45,10.97
Ours,31,89.55,12.55
Ours,32,89.55,12.55
Ours,33,89.65,14.11
Ours,34,89.7,14.88
Ours,35,89.7,14.88
Ours,36,89.85,17.14
Ours,37,89.95,18.62
Ours,38,89.95,18.62
Ours,39,90.0,19.35
Ours,40,90.0,19.35
Ours,41,90.1,20.8
Ours,42,90.1,20.8
Ours,43,90.1,20.8
Ours,44,90.15,21.51
Ours,45,90.15,21.51
Ours,46,90.15,21.51
Ours,47,90.15,21.51
Ours,48,90.15,21.51
Ours,49,90.15,21.51
